municipio;periodo;internacoes;periodo_data;media_permanencia;dias_permanencia;obitos;taxa_mortalidade;valor_total
350630 BERNARDINO DE CAMPOS;2024/Ago;56.0;2024-08-01;3.5;194.0;7.0;12.5;30550.3
350635 BERTIOGA;2024/Ago;275.0;2024-08-01;3.3;912.0;11.0;4.0;122731.96
350640 BILAC;2024/Ago;17.0;2024-08-01;4.0;68.0;2.0;11.76;7056.96
350650 BIRIGUI;2024/Ago;413.0;2024-08-01;4.2;1744.0;21.0;5.08;408935.0
350670 BOA ESPERANCA DO SUL;2024/Ago;6.0;2024-08-01;2.2;13.0;3.0;50.0;2352.51
350680 BOCAINA;2024/Ago;8.0;2024-08-01;3.0;24.0;2.0;25.0;4688.12
350700 BOITUVA;2024/Ago;232.0;2024-08-01;2.7;633.0;11.0;4.74;129976.52
350710 BOM JESUS DOS PERDOES;2024/Ago;14.0;2024-08-01;7.6;106.0;3.0;21.43;5833.88
350740 BORBOREMA;2024/Ago;58.0;2024-08-01;3.2;186.0;3.0;5.17;24593.95
350750 BOTUCATU;2024/Ago;2429.0;2024-08-01;6.5;15767.0;127.0;5.23;7272101.87
350760 BRAGANCA PAULISTA;2024/Ago;1570.0;2024-08-01;3.8;5958.0;90.0;5.73;3048539.24
350790 BROTAS;2024/Ago;62.0;2024-08-01;5.1;319.0;4.0;6.45;34116.82
350810 BURITAMA;2024/Ago;60.0;2024-08-01;4.2;250.0;9.0;15.0;28356.14
350840 CABREUVA;2024/Ago;71.0;2024-08-01;2.7;191.0;4.0;5.63;33832.82
350850 CACAPAVA;2024/Ago;332.0;2024-08-01;4.8;1587.0;26.0;7.83;366153.52
350870 CACONDE;2024/Ago;113.0;2024-08-01;2.7;308.0;6.0;5.31;172498.98
350880 CAFELANDIA;2024/Ago;79.0;2024-08-01;2.9;232.0;4.0;5.06;33886.5
350900 CAIEIRAS;2024/Ago;392.0;2024-08-01;2.7;1054.0;10.0;2.55;186580.04
350920 CAJAMAR;2024/Ago;327.0;2024-08-01;3.4;1124.0;9.0;2.75;123144.66
350930 CAJOBI;2024/Ago;42.0;2024-08-01;2.5;107.0;1.0;2.38;18216.75
350940 CAJURU;2024/Ago;254.0;2024-08-01;3.4;863.0;8.0;3.15;131809.59
350950 CAMPINAS;2024/Ago;7705.0;2024-08-01;5.3;40522.0;397.0;5.15;19461868.23
350960 CAMPO LIMPO PAULISTA;2024/Ago;339.0;2024-08-01;3.7;1263.0;27.0;7.96;333775.83
350970 CAMPOS DO JORDAO;2024/Ago;226.0;2024-08-01;17.8;4031.0;9.0;3.98;413799.61
351000 CANDIDO MOTA;2024/Ago;239.0;2024-08-01;2.8;661.0;8.0;3.35;217619.31
351020 CAPAO BONITO;2024/Ago;282.0;2024-08-01;3.8;1076.0;26.0;9.22;337982.93
351040 CAPIVARI;2024/Ago;245.0;2024-08-01;3.4;831.0;18.0;7.35;293135.69
351050 CARAGUATATUBA;2024/Ago;1783.0;2024-08-01;3.8;6760.0;62.0;3.48;2396648.87
351060 CARAPICUIBA;2024/Ago;1706.0;2024-08-01;3.5;5894.0;59.0;3.46;1642511.99
351070 CARDOSO;2024/Ago;38.0;2024-08-01;3.2;122.0;0.0;0.0;13077.4
351080 CASA BRANCA;2024/Ago;184.0;2024-08-01;8.4;1544.0;10.0;5.43;170336.6
351100 CASTILHO;2024/Ago;30.0;2024-08-01;7.4;222.0;2.0;6.67;13674.68
351110 CATANDUVA;2024/Ago;1473.0;2024-08-01;7.0;10351.0;109.0;7.4;3186247.57
351140 CERQUEIRA CESAR;2024/Ago;174.0;2024-08-01;2.3;396.0;5.0;2.87;119531.74
351150 CERQUILHO;2024/Ago;34.0;2024-08-01;4.6;156.0;2.0;5.88;15680.74
351160 CESARIO LANGE;2024/Ago;52.0;2024-08-01;3.7;193.0;2.0;3.85;29992.91
351170 CHARQUEADA;2024/Ago;31.0;2024-08-01;3.2;100.0;1.0;3.23;10275.79
351190 CLEMENTINA;2024/Ago;26.0;2024-08-01;4.9;128.0;0.0;0.0;10610.12
351200 COLINA;2024/Ago;107.0;2024-08-01;4.1;442.0;6.0;5.61;134814.62
351210 COLOMBIA;2024/Ago;1.0;2024-08-01;2.0;2.0;0.0;0.0;292.62
351220 CONCHAL;2024/Ago;187.0;2024-08-01;1.6;302.0;8.0;4.28;116347.94
351230 CONCHAS;2024/Ago;37.0;2024-08-01;3.1;115.0;3.0;8.11;15996.72
351280 COSMOPOLIS;2024/Ago;135.0;2024-08-01;3.8;511.0;14.0;10.37;133193.91
351300 COTIA;2024/Ago;1218.0;2024-08-01;3.4;4196.0;56.0;4.6;1442971.69
