COD_MUNICIPIO;TOTAL_ESTABELECIMENTOS;ESTABELECIMENTOS_HOSPITALARES;ESTABELECIMENTOS_SUS;LATITUDE_MEDIA;LONGITUDE_MEDIA
314465;23;0;11;-15.333142880678261;-41.7335681851913
314467;11;0;6;-18.492263963181816;-41.09538324854546
314470;62;1;12;-19.75955696429298;-43.03629119365263
314480;517;7;61;-19.992681147058008;-43.889525418798826
314490;5;0;4;-18.57006496;-41.60942204
314500;42;1;13;-19.17451014632439;-47.67116030659512
314505;12;0;7;-15.767707948463636;-43.28721916442727
314510;40;1;9;-21.12554509673158;-46.42071522764737
314520;242;1;50;-19.875264142897933;-44.98147848572644
314530;52;1;15;-17.464469338936958;-41.89076278623913
314535;17;0;9;-17.37126693941333;-41.21260576282667
314537;12;0;9;-16.008872933154546;-42.41542343551818
314540;6;0;3;-21.8654299;-43.95499761666667
314545;10;0;5;-17.39869918856;-43.57045910966
314550;16;0;3;-22.067484608473332;-45.26189034999334
314560;145;1;21;-20.703614021374467;-44.80510228272269
314570;3;0;3;-21.338809466666664;-43.12353486666666
314580;10;0;4;-19.736409086400002;-44.798365952725
314585;11;0;7;-20.446029624999998;-42.801916875
314587;16;0;8;-20.5064091625;-42.20890165625
314590;223;2;24;-20.53047184296842;-43.70775737467544
314600;153;1;16;-22.280025721185496;-46.37486288820992
314610;281;1;50;-20.408764788631274;-43.52578112259491
314620;14;0;8;-18.06219588023077;-41.264584862661536
314625;10;0;6;-16.362867660766668;-42.51616003087778
314630;27;1;16;-17.073551116836;-41.488260512148
314640;17;1;8;-18.905368973333335;-45.53268938666667
314650;16;1;9;-20.372155241519998;-45.659404517393334
314655;11;0;4;-15.50919344861818;-43.09026264681818
314660;4;0;3;-21.289002229125;-43.4156229423
314670;25;1;7;-21.375559255172004;-42.314359835084
314675;11;0;6;-16.757968298836364;-40.40967568682727
314690;43;0;13;-19.447837953233336;-44.74212647782857
314700;358;5;41;-17.227351222359484;-46.87359077633639
314710;423;2;57;-19.85935718835757;-44.60568705835658
314720;52;1;15;-21.553454522310204;-45.73707164762449
314730;90;1;18;-22.555713018456977;-45.78411293508721
314740;76;0;11;-19.276373263794667;-44.40155601466
314750;10;1;4;-19.3463931654875;-43.1411336742375
314760;82;1;17;-22.39451971949367;-44.970226659994935
314770;18;1;9;-20.65117423693889;-44.49440497816111
314780;11;0;3;-22.20488544473;-44.23862611471
314790;546;2;65;-20.721189038871454;-46.60762965145989
314795;8;0;5;-16.0787074922125;-44.08191874625
